Region,Latitude,Longitude
ON,44.2538,-76.943
ON,45.4238,-76.3624
ON,45.4779,-76.6731
ON,45.8173,-77.1174
ON,45.815,-77.1107
ON,45.9151,-77.2754
ON,44.1607,-77.369
ON,44.1605,-77.3846
ON,44.1312,-77.4521
ON,44.1106,-77.5569
ON,43.9851,-78.1621
ON,44.299,-78.3145
ON,44.2763,-78.313
ON,44.279,-78.3659
ON,44.3238,-78.303
ON,44.3512,-78.7192
ON,44.1836,-78.5563
ON,44.0286,-79.0015
ON,44.0371,-79.1964
ON,44.2406,-79.357
ON,44.1595,-79.8733
ON,43.9282,-79.1201
ON,43.7788,-79.4991
ON,44.6072,-79.6291
ON,44.1535,-79.8683
ON,44.1476,-79.872
ON,43.8582,-80.0696
ON,43.7882,-79.6754
ON,43.1661,-80.0702
ON,43.0796,-79.199
ON,43.9427,-78.2944
ON,43.8966,-78.6309
ON,43.9014,-78.6755
ON,43.914,-78.6925
ON,43.898,-78.8656
ON,43.8973,-78.8641
ON,43.8587,-78.8341
ON,43.9091,-78.8088
ON,43.9527,-78.8795
ON,43.9561,-78.9556
ON,43.8581,-78.9319
ON,43.8744,-78.9638
ON,43.9018,-78.9347
ON,43.8265,-78.9991
ON,43.8603,-79.0434
ON,43.8087,-79.1307
ON,43.8125,-79.0827
ON,43.8449,-79.0996
ON,43.9903,-79.1004
ON,43.8627,-79.0136
ON,42.8845,-78.9398
ON,43.0939,-79.0699
ON,43.0963,-79.074
ON,43.1148,-79.1238
ON,43.1155,-79.0916
ON,43.2237,-79.2191
ON,43.1751,-79.2389
ON,43.1418,-79.2133
ON,43.1719,-79.227
ON,43.1275,-79.2631
ON,43.1334,-79.1989
ON,43.1017,-79.1997
ON,43.1743,-79.2744
ON,42.9859,-79.2232
ON,42.9989,-79.2466
ON,42.8754,-79.237
ON,43.2005,-79.6292
ON,43.8605,-79.3279
ON,43.86,-79.3605
ON,43.831,-79.2768
ON,43.7984,-79.4186
ON,44.6039,-79.4126
ON,44.0464,-79.4874
ON,44.0414,-79.4534
ON,44.1208,-79.5656
ON,43.9707,-79.2503
ON,43.8417,-79.4011
ON,43.8759,-79.4381
ON,43.9423,-79.4595
ON,43.9909,-79.4639
ON,43.8084,-79.6089
ON,43.7964,-79.4278
ON,43.7848,-79.4811
ON,43.7886,-79.5919
ON,44.3885,-79.6886
ON,44.3891,-79.6901
ON,44.2421,-79.4818
ON,44.7542,-79.9005
ON,43.8975,-79.4415
ON,43.6951,-79.6525
ON,43.6879,-79.6072
ON,43.6272,-79.6222
ON,43.5996,-79.5664
ON,43.5854,-79.583
ON,43.6092,-79.6201
ON,43.5701,-79.5985
ON,43.5665,-79.6035
ON,43.5591,-79.6186
ON,43.571,-79.5668
ON,43.5581,-79.5738
ON,43.5472,-79.585
ON,43.5146,-79.6063
ON,43.5319,-79.6403
ON,43.5372,-79.6667
ON,43.5747,-79.7278
ON,43.5892,-79.7239
ON,43.6904,-79.6238
ON,43.5974,-79.6402
ON,43.6975,-79.6615
ON,43.6578,-79.6607
ON,43.6097,-79.704
ON,43.6261,-79.729
ON,43.857,-79.514
ON,43.8845,-79.2339
ON,43.8842,-79.3359
ON,43.8927,-79.2641
ON,43.8478,-79.3447
ON,43.4543,-79.6921
ON,43.4427,-79.6664
ON,43.4401,-79.669
ON,43.4037,-79.6934
ON,43.4453,-79.7095
ON,43.7794,-79.7284
ON,43.7494,-79.7511
ON,43.7153,-79.7321
ON,43.6892,-79.7079
ON,43.7074,-79.7853
ON,43.6746,-79.724
ON,43.6858,-79.7602
ON,43.6699,-79.7444
ON,43.7304,-79.8042
ON,43.7023,-79.7909
ON,43.9327,-79.5104
ON,43.7467,-79.8304
ON,43.8628,-79.7147
ON,43.644,-79.8787
ON,43.634,-80.0491
ON,43.3479,-79.7593
ON,43.3585,-79.8093
ON,43.3336,-79.7771
ON,43.3503,-79.8117
ON,43.3248,-79.7957
ON,43.304,-79.7991
ON,43.3018,-79.8497
ON,43.2318,-79.7696
ON,43.2298,-79.7722
ON,43.2369,-79.7991
ON,43.1907,-79.7878
ON,43.2424,-79.8192
ON,43.2645,-79.8664
ON,43.2522,-79.8489
ON,43.2566,-79.8683
ON,43.257,-79.8697
ON,43.2574,-79.8676
ON,43.2604,-79.8961
ON,43.2365,-79.8338
ON,43.2428,-79.8524
ON,43.2141,-79.8626
ON,43.241,-79.8452
ON,43.2116,-79.8915
ON,43.2432,-79.876
ON,43.2199,-79.9874
ON,43.2638,-79.9505
ON,43.2359,-79.9403
ON,44.0905,-78.9479
ON,44.7672,-79.9385
ON,44.1315,-79.4823
ON,44.1065,-79.1427
ON,44.1513,-79.8744
ON,44.2871,-79.6703
ON,43.5034,-79.8773
ON,43.9471,-80.1091
ON,43.9258,-80.1056
ON,44.5029,-80.2176
ON,44.5208,-80.0162
ON,43.7976,-79.227
ON,43.7882,-79.1911
ON,43.7385,-79.2021
ON,43.7563,-79.2224
ON,43.7563,-79.2417
ON,43.7315,-79.246
ON,43.7025,-79.2656
ON,43.6905,-79.2857
ON,43.7041,-79.2446
ON,43.6748,-79.2764
ON,43.7422,-79.2818
ON,43.7293,-79.3038
ON,43.7807,-79.2855
ON,43.7719,-79.3213
ON,43.813,-79.2781
ON,43.7822,-79.3261
ON,43.8275,-79.2437
ON,43.7895,-79.3735
ON,43.7685,-79.3584
ON,43.7657,-79.3835
ON,43.7352,-79.3818
ON,43.784,-79.4263
ON,43.7521,-79.4202
ON,43.7393,-79.4005
ON,43.7648,-79.4325
ON,43.7358,-79.328
ON,43.7363,-79.3498
ON,43.7122,-79.3237
ON,43.7387,-79.4337
ON,43.7496,-79.4886
ON,43.7271,-79.4666
ON,43.7183,-79.5119
ON,43.72,-79.5085
ON,43.7387,-79.5166
ON,43.7159,-79.3037
ON,43.6979,-79.2986
ON,43.68,-79.3218
ON,43.6675,-79.296
ON,43.6918,-79.3708
ON,43.7018,-79.3578
ON,43.6713,-79.3412
ON,43.6668,-79.3501
ON,43.662,-79.3281
ON,43.6505,-79.3369
ON,43.7168,-79.3998
ON,43.7066,-79.398
ON,43.7066,-79.3996
ON,43.6964,-79.3953
ON,43.6825,-79.3897
ON,43.6778,-79.3992
ON,43.6699,-79.3887
ON,43.6647,-79.3695
ON,43.6618,-79.3847
ON,43.6369,-79.3505
ON,43.6543,-79.3796
ON,43.687,-79.5318
ON,43.639,-79.4499
ON,43.6519,-79.3874
ON,43.649,-79.3784
ON,43.6441,-79.3801
ON,43.6469,-79.3823
ON,43.6492,-79.3823
ON,43.7248,-79.4033
ON,43.7043,-79.4093
ON,43.6981,-79.3987
ON,43.6705,-79.3901
ON,43.6619,-79.3952
ON,43.6497,-79.3952
ON,43.6525,-79.3686
ON,43.6437,-79.3787
ON,43.6492,-79.3823
ON,43.7193,-79.43
ON,43.7054,-79.4272
ON,43.683,-79.4184
ON,43.6797,-79.4358
ON,43.6565,-79.4079
ON,43.6536,-79.4258
ON,43.644,-79.4062
ON,43.6392,-79.4058
ON,43.7103,-79.4714
ON,43.6815,-79.4668
ON,43.668,-79.4515
ON,43.6558,-79.4663
ON,43.6403,-79.4374
ON,43.6358,-79.4668
ON,43.6641,-79.3889
ON,43.7804,-79.2505
ON,43.6305,-79.4762
ON,43.5908,-79.5218
ON,43.649,-79.4977
ON,43.6181,-79.4967
ON,43.6053,-79.5201
ON,43.6434,-79.5297
ON,43.6383,-79.5356
ON,43.6088,-79.5574
ON,43.7494,-79.5614
ON,43.7182,-79.5216
ON,43.7087,-79.5287
ON,43.6814,-79.5367
ON,43.6808,-79.5438
ON,43.73,-79.5542
ON,43.6772,-79.5894
ON,42.9466,-79.8509
ON,43.7722,-80.6586
ON,44.2999,-80.4804
ON,43.0986,-80.5633
ON,43.8567,-81.4023
ON,44.3483,-80.914
ON,43.221,-80.5613
ON,43.5838,-81.2351
ON,42.8188,-81.6437
ON,43.5651,-81.6986
ON,42.7967,-81.7938
ON,42.5323,-81.7991
ON,42.2932,-82.7075
ON,42.9132,-79.6101
ON,43.5036,-80.2394
ON,43.5749,-80.2688
ON,43.5325,-80.2531
ON,43.555,-80.2868
ON,43.5156,-80.2827
ON,43.5225,-80.2095
ON,43.7157,-80.387
ON,43.3372,-80.3021
ON,43.3831,-80.3191
ON,43.3742,-80.3457
ON,43.4067,-80.3037
ON,43.4353,-80.4527
ON,43.448,-80.4589
ON,43.4346,-80.4532
ON,43.4236,-80.48
ON,43.4497,-80.4893
ON,43.4487,-80.4849
ON,43.4613,-80.507
ON,43.4801,-80.4801
ON,43.4529,-80.5281
ON,43.4422,-80.4968
