Region,Source,Year,Data,Unit
YT,All sources,2012,454.559,GWh
YT,All sources,2013,448.281,GWh
YT,All sources,2014,433.352,GWh
YT,All sources,2015,447.884,GWh
NU,All sources,2005,141.645,GWh
NU,All sources,2006,144.709,GWh
NU,All sources,2007,148.881,GWh
NU,All sources,2008,182.199,GWh
NU,All sources,2009,161.925,GWh
NU,All sources,2010,161.925,GWh
NU,All sources,2011,98.308,GWh
NU,All sources,2012,98.307,GWh
NU,All sources,2013,98.307,GWh
NU,All sources,2014,157.598,GWh
NU,All sources,2015,187,GWh
Canada,All sources,2005,610237.6314,GWh
Canada,All sources,2006,600635.0285,GWh
Canada,All sources,2007,623074.3984,GWh
Canada,All sources,2008,626535.9525,GWh
Canada,All sources,2009,601430.4634,GWh
Canada,All sources,2010,594458.4745,GWh
Canada,All sources,2011,616702.4581,GWh
Canada,All sources,2012,624999.7535,GWh
Canada,All sources,2013,647560.5314,GWh
Canada,All sources,2014,647684.7401,GWh
Canada,All sources,2015,646039.7333,GWh
BC,Non-hydro renewables,2005,3254,GWh
BC,Non-hydro renewables,2006,3254,GWh
BC,Non-hydro renewables,2007,3254,GWh
BC,Non-hydro renewables,2008,2739,GWh
BC,Non-hydro renewables,2009,2197,GWh
BC,Non-hydro renewables,2010,3970.7,GWh
BC,Non-hydro renewables,2011,4649.9,GWh
BC,Non-hydro renewables,2012,4797,GWh
BC,Non-hydro renewables,2013,4980.8,GWh
BC,Non-hydro renewables,2014,5035.2,GWh
BC,Non-hydro renewables,2015,4917.3,GWh
AB,Non-hydro renewables,2005,2466.168,GWh
AB,Non-hydro renewables,2006,2776.535,GWh
AB,Non-hydro renewables,2007,3300.629,GWh
AB,Non-hydro renewables,2008,3390.29,GWh
AB,Non-hydro renewables,2009,3419.4,GWh
AB,Non-hydro renewables,2010,3537.398,GWh
AB,Non-hydro renewables,2011,4344.19,GWh
AB,Non-hydro renewables,2012,4690.11769,GWh
AB,Non-hydro renewables,2013,5308.1,GWh
AB,Non-hydro renewables,2014,5584.2,GWh
AB,Non-hydro renewables,2015,6237.5,GWh
SK,Non-hydro renewables,2005,91.916,GWh
SK,Non-hydro renewables,2006,573,GWh
SK,Non-hydro renewables,2007,620,GWh
SK,Non-hydro renewables,2008,574.391,GWh
SK,Non-hydro renewables,2009,578.582,GWh
SK,Non-hydro renewables,2010,506.587,GWh
